ISO,Country,Subject Descriptor,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,General government net lending/borrowing,National currency,,,,,,,,,,,20.160,14.270,-12.224,-100.584,-65.392,-28.243,75.257,66.126,-108.134,-64.540,398.854,144.595,10.535,410.451,421.456,896.671,1150.691,456.892,907.001,-713.026,-178.165,-168.527,-710.888,-143.714,-1375.674,-2620.146,-2343.735,-1590.283,-1395.964,-1964.632,-2198.526
DZA,Algeria,General government gross debt,Percent of GDP,,,,,,,,,,,,93.404,75.216,83.343,115.419,104.041,98.409,86.346,86.704,75.619,57.960,54.267,51.276,41.389,35.211,26.311,23.636,13.506,8.056,9.775,10.492,9.254,9.326,7.094,7.658,8.733,20.438,27.242,38.366,46.046,52.009
DZA,Algeria,Current account balance,Percent of GDP,0.571,-0.472,-0.973,-0.179,0.144,1.660,-3.623,0.223,-3.678,-1.965,2.181,5.121,2.621,1.589,-4.334,-5.318,2.658,7.161,-1.888,0.041,16.699,12.896,7.680,12.979,13.027,20.526,24.738,22.671,20.146,0.299,7.541,9.900,5.879,0.398,-4.413,-16.442,-16.542,-13.332,-9.673,-9.877,-12.846
AND,Andorra,"Gross domestic product, constant prices",Percent change,,,,,,,,,,,,,,,,,,,,,,8.119,4.546,8.694,8.136,5.398,4.809,1.553,-5.559,-5.303,-1.975,-0.008,-4.974,-3.548,2.504,1.434,3.710,0.346,1.589,2.016,-11.184
AND,Andorra,"Gross domestic product, current prices",U.S. dollars,,,,,,,,,,,,,,,,,,,,,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885
AND,Andorra,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,3.127,3.056,2.906,3.527,3.682,2.659,4.347,-1.217,1.706,2.552,1.467,0.475,-0.096,-1.132,-0.422,2.586,0.996,0.530,0.092
AND,Andorra,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,26.704,25.000,24.216,23.690,23.387,25.189,27.556,29.418,29.861,28.802,29.058,33.883,31.962,31.662,32.951,34.118,34.697,35.869,35.793,43.445
AND,Andorra,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,,,,,,,0.011,0.018,0.037,0.043,-0.002,-0.040,-0.082,-0.089,-0.093,-0.009,0.011,-0.041,0.081,0.053,0.050,0.114,0.089,0.073,0.064,-0.075
AND,Andorra,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,15.773,15.266,15.163,15.105,14.761,16.140,18.444,25.096,31.119,34.875,36.531,41.615,42.577,42.039,40.942,39.773,37.827,36.345,35.399,46.329
AND,Andorra,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.010,14.634
AGO,Angola,"Gross domestic product, constant prices",Percent change,2.406,-4.400,,4.200,6.000,3.500,2.900,4.083,6.129,0.042,-3.450,12.084,11.403,10.969,10.511,10.364,11.208,7.274,4.691,2.181,3.055,4.206,13.666,2.990,10.953,15.029,11.548,14.010,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.580,-0.150,-1.316,-0.702,-5.638
AGO,Angola,"Gross domestic product, current prices",U.S. dollars,6.639,6.214,6.214,6.476,6.864,8.457,7.918,9.050,9.818,11.421,12.571,12.186,9.395,6.819,4.965,6.197,7.994,9.388,7.958,7.526,11.166,10.930,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.790,128.053,136.710,145.712,116.194,101.124,122.022,101.353,84.516,57.139
AGO,Angola,Gross national savings,Percent of GDP,17.704,15.105,12.419,11.463,14.437,11.788,5.410,14.150,2.680,9.089,32.396,37.694,42.412,45.441,47.822,52.231,75.766,39.511,35.624,36.319,38.005,17.787,26.171,26.200,33.747,41.322,43.622,40.336,37.776,26.529,34.689,38.073,37.416,32.143,26.873,28.374,24.347,23.517,28.659,27.045,26.942
AGO,Angola,"Inflation, average consumer prices",Percent change,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.476,949.771,2672.230,4146.010,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.480,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,22.277
AGO,Angola,Volume of exports of goods and services,Percent change,-3.000,8.000,-12.900,4.600,12.500,-5.900,-33.800,54.300,7.000,2.700,14.600,0.186,8.359,-8.275,8.236,12.240,10.698,6.020,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.640,-3.266,-5.404,3.838,0.064,-2.115,6.721,-1.971,-1.252,-10.725,-5.927,-7.342
AGO,Angola,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,33.197,35.186,34.339,51.772,40.568,34.287,31.223,34.400,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.050,36.457,27.051,22.043,24.103,20.579,20.403,23.277
AGO,Angola,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,,0.060,-0.007,-0.210,-2.236,2.567,7.658,-16.917,-62.256,23.287,231.059,396.677,215.870,-281.356,-440.464,261.463,848.602,505.037,-40.085,-819.375,-406.964,-748.074,-1333.423,586.090,239.217,-638.098
AGO,Angola,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.810,57.093,75.663,69.323,92.995,113.554,138.897
AGO,Angola,Current account balance,Percent of GDP,1.051,-2.947,-7.958,-5.549,-2.488,2.306,-3.827,4.939,-4.777,-1.156,-1.873,-4.756,-7.821,-9.804,-6.843,-4.761,40.863,-9.412,-23.462,-22.728,7.125,-13.092,-0.982,-4.040,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.572,-8.841,-3.051,-0.519,7.304,6.079,1.526
ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,8.162,3.815,-0.085,5.364,10.165,7.644,11.493,6.626,5.214,5.252,3.012,2.177,1.158,5.280,6.676,-4.360,6.606,5.471,4.731,3.709,6.203,-4.548,1.028,6.076,5.767,6.475,12.707,9.316,-0.014,-11.963,-7.841,-1.959,3.372,-0.601,3.797,3.824,5.497,3.144,6.884,4.862,-20.192
ATG,Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,0.131,0.148,0.164,0.182,0.208,0.241,0.290,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.826,0.800,0.814,0.856,0.920,1.023,1.158,1.313,1.370,1.228,1.149,1.138,1.200,1.181,1.250,1.337,1.437,1.468,1.606,1.688,1.370
ATG,Antigua and Barbuda,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.789,7.161,9.749,15.436,22.915,27.947,14.510
ATG,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,18.999,11.465,4.170,2.346,3.844,0.996,0.500,3.602,6.800,4.362,6.591,4.518,3.000,3.100,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.030,2.099,1.788,1.416,5.334,-0.550,3.370,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.211,1.431,1.058
ATG,Antigua and Barbuda,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.131,1.916,-6.975,2.881,13.698,-50.357
ATG,Antigua and Barbuda,General government total expenditure,Percent of GDP,,,,,,,,,,,18.887,21.736,19.655,20.533,22.432,22.395,20.973,18.081,22.418,22.140,22.997,26.518,29.037,26.846,24.472,24.087,29.311,26.988,26.386,36.209,22.563,23.861,21.077,23.223,23.010,26.704,24.658,23.577,22.284,22.619,26.761
ATG,Antigua and Barbuda,General government net lending/borrowing,National currency,,,,,,,,,,,0.002,-0.053,-0.012,-0.037,-0.073,-0.065,-0.030,0.000,-0.035,-0.069,-0.110,-0.203,-0.214,-0.187,-0.108,-0.133,-0.233,-0.200,-0.198,-0.592,-0.009,-0.107,-0.036,-0.137,-0.097,-0.094,-0.006,-0.113,-0.107,-0.181,-0.235
ATG,Antigua and Barbuda,General government gross debt,Percent of GDP,,,,,,,,,,,98.070,99.074,95.479,90.146,89.655,98.322,91.674,87.022,102.609,104.603,105.132,117.951,126.300,125.076,120.127,92.614,89.101,77.784,75.989,100.632,89.742,91.803,87.494,95.791,101.369,99.071,86.126,92.193,87.700,81.251,101.477
ATG,Antigua and Barbuda,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,2.211,-2.455,-8.038,-14.550,-7.103,-16.893
ARG,Argentina,"Gross domestic product, constant prices",Percent change,0.700,-5.744,-3.149,3.733,2.000,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.830,-2.845,5.527,8.111,3.850,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.080,2.819,-2.617,-2.001,-9.943
ARG,Argentina,"Gross domestic product, current prices",U.S. dollars,233.696,189.802,94.250,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,451.815,389.064
ARG,Argentina,Gross national savings,Percent of GDP,20.748,18.216,17.345,16.960,16.305,17.241,16.215,14.533,15.567,15.071,15.472,12.889,12.410,13.999,13.989,17.662,15.051,14.662,14.170,11.742,12.459,12.325,17.631,18.474,19.350,21.362,21.471,22.199,21.065,18.220,17.323,17.386,16.133,15.159,15.634,14.328,14.950,13.375,11.449,13.163,16.940
ARG,Argentina,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,0.925,-1.167,-0.939,-1.065,25.869,13.443,4.416,9.642,10.898,8.830,8.585,6.270,10.461,9.775,10.043,10.619,,,,25.675,34.277,53.548,42.015
ARG,Argentina,Volume of exports of goods and services,Percent change,43.237,5.204,3.947,2.582,-2.591,15.554,-9.975,-3.519,18.728,7.472,16.833,-5.105,2.105,2.385,17.375,25.559,6.395,15.099,12.717,-2.124,1.898,6.096,0.244,5.006,-0.150,11.583,4.473,5.935,-0.739,-10.680,13.473,2.368,-5.610,-3.788,-7.849,-1.699,6.917,-0.273,-0.399,12.255,-12.898
ARG,Argentina,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,22.017,22.938,22.862,22.687,22.586,23.130,25.471,25.247,26.432,21.853,22.026,23.030,24.426,26.617,29.551,30.762,34.524,33.358,34.902,36.821,37.603,38.853,41.366,41.522,41.121,38.949,37.703,42.059
ARG,Argentina,General government net lending/borrowing,National currency,,,,,,,,,,,,,,-0.064,-3.597,-5.985,-8.552,-6.017,-6.108,-11.745,-10.857,-16.115,-6.676,6.305,19.244,19.460,11.813,6.790,4.046,-22.838,-23.155,-59.828,-79.614,-108.948,-194.722,-357.304,-547.557,-713.525,-802.287,-958.221,-2360.199
ARG,Argentina,General government gross debt,Percent of GDP,,,,,,,,,,,,,24.961,26.893,28.426,30.749,32.551,31.676,34.147,38.917,40.833,48.007,147.203,125.162,117.878,80.282,70.793,62.133,53.814,55.397,43.454,38.935,40.436,43.496,44.697,52.563,53.060,57.028,85.246,88.835,102.790
ARG,Argentina,Current account balance,Percent of GDP,-1.101,-3.014,-3.095,-2.095,-1.911,-0.966,-2.411,-3.484,-1.104,1.199,2.952,-0.202,-2.529,-3.042,-3.815,-1.769,-2.352,-3.753,-4.380,-3.815,-2.878,-1.316,7.666,5.597,1.798,2.473,2.791,2.100,1.492,2.167,-0.382,-1.012,-0.369,-2.146,-1.628,-2.743,-2.713,-4.838,-5.165,-0.779,0.795
ARM,Armenia,"Gross domestic product, constant prices",Percent change,,,,,,,,,,,,,,-14.054,5.400,8.033,5.169,3.387,6.271,3.170,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.150,2.200,4.700,7.134,3.412,3.607,3.254,0.195,7.518,5.225,7.631,-7.151
ARM,Armenia,"Gross domestic product, current prices",U.S. dollars,,,,,,,,,,,,,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.900,6.384,9.206,11.662,8.648,9.260,10.142,10.619,11.121,11.610,10.553,10.546,11.527,12.458,13.619,12.642
ARM,Armenia,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,3.836,2.894,3.950,0.694,3.833,2.452,5.404,11.939,18.211,20.715,25.843,31.155,30.804,29.585,17.338,15.797,16.560,12.797,14.828,13.275,18.542,17.059,16.913,14.980,10.088,15.884
ARM,Armenia,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,3731.800,5273.449,176.743,18.653,14.034,8.687,0.723,-0.774,3.160,1.038,4.682,6.889,0.569,2.899,4.409,9.115,3.516,8.152,7.494,2.492,5.714,3.020,3.696,-1.424,1.189,2.486,1.443,1.226
ARM,Armenia,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,28.608,-6.895,16.866,12.726,12.289,31.858,30.650,20.124,-4.155,17.834,-12.401,8.790,-3.731,-9.141,14.382,10.962,12.638,13.237,9.695,10.314,17.827,13.410,8.221,18.171,-35.046
ARM,Armenia,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,19.871,20.000,22.420,22.236,28.553,26.201,24.964,22.415,23.797,23.991,26.331,27.048,26.027,24.050,24.902,30.648
ARM,Armenia,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,,,,,,,,,,,-44.326,-51.806,-73.512,-62.677,-241.482,-172.298,-108.610,-63.716,-72.566,-93.805,-243.953,-285.406,-266.264,-105.394,-63.948,-333.993
ARM,Armenia,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,40.792,46.515,45.200,39.200,39.597,38.061,38.248,33.016,26.446,20.467,16.183,14.250,14.632,34.138,33.757,35.702,35.600,36.331,39.362,44.133,51.929,53.704,51.233,50.086,63.474
ARM,Armenia,Current account balance,Percent of GDP,,,,,,,,,,,,,-46.280,-5.993,3.804,-16.972,-18.202,-19.315,-21.993,-16.936,-15.780,-10.440,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.440,-9.962,-7.297,-7.750,-2.661,-0.957,-1.509,-7.420,-7.320,-3.780
ABW,Aruba,"Gross domestic product, constant prices",Percent change,,,,,,,,16.079,18.640,12.095,3.977,7.975,5.875,7.304,8.207,2.503,1.257,7.018,1.989,1.371,7.685,4.182,-0.945,1.111,7.294,-0.383,1.127,3.090,1.836,-11.678,-2.733,3.369,-1.041,6.431,-0.015,3.551,2.110,5.474,5.259,0.645,-18.585
ABW,Aruba,"Gross domestic product, current prices",U.S. dollars,,,,,,,,,,,,,,,,1.321,1.380,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.360,2.470,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.202,3.369,2.610
ABW,Aruba,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,29.569,26.397,26.535,27.714,26.185,29.193,25.602,22.528,21.550,25.352,24.261,22.665,21.897,24.051,17.923,13.255,12.481,13.084,15.031,16.780,21.411,21.976,21.844,20.748,22.295,9.825
ABW,Aruba,"Inflation, average consumer prices",Percent change,,,,,,,,3.639,3.121,3.989,5.838,5.553,3.870,5.219,6.284,3.413,3.169,3.006,1.865,2.274,4.074,2.884,3.316,3.655,2.530,3.397,3.610,5.390,8.957,-2.137,2.078,4.375,0.572,-2.372,0.421,0.475,-0.932,-1.028,3.626,3.939,-1.313
ABW,Aruba,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,26.328,27.458,24.990,21.574,22.798,21.606,22.508,24.660,25.136,29.245,24.477,24.827,22.620,25.359,26.888,30.443,27.199,30.761,29.454,29.834,25.373,25.119,24.558,24.589,23.209,38.957
ABW,Aruba,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,-0.020,-0.058,-0.058,0.003,0.003,0.022,-0.028,-0.111,0.069,-0.344,-0.125,-0.112,-0.050,0.075,-0.120,-0.153,-0.304,-0.419,-0.295,-0.373,-0.078,-0.078,-0.143,-0.112,0.020,-0.749
ABW,Aruba,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,55.088,54.771,51.070,41.039,39.288,38.613,44.326,47.079,40.848,42.543,45.093,45.518,44.558,40.310,48.785,54.662,59.347,65.533,70.032,77.709,74.177,75.387,75.825,75.004,71.618,110.137
ABW,Aruba,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,-25.271,11.345,16.350,-16.996,-8.182,12.156,4.908,12.702,9.687,0.018,6.935,-18.737,-10.020,3.602,-11.957,-4.797,3.881,4.557,0.959,-0.542,2.601,-12.121
AUS,Australia,"Gross domestic product, constant prices",Percent change,2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.643,1.508,-0.999,2.593,3.931,4.850,2.955,4.024,4.624,4.650,4.355,3.092,2.655,4.164,3.019,4.112,2.998,2.616,4.375,2.542,1.949,2.415,2.763,3.768,2.203,2.560,2.283,2.691,2.383,2.815,1.943,-1.814
AUS,Australia,"Gross domestic product, current prices",U.S. dollars,162.956,188.447,187.086,179.513,197.174,174.418,181.513,213.141,271.141,308.362,324.085,324.471,318.093,309.308,353.374,379.071,424.689,426.424,381.387,411.727,399.960,377.780,425.288,541.063,658.572,735.940,782.797,949.526,1056.487,1000.801,1254.497,1515.076,1569.430,1519.024,1456.600,1233.101,1263.521,1381.624,1417.030,1385.258,1360.687
AUS,Australia,Gross national savings,Percent of GDP,21.733,20.877,18.763,16.946,20.140,18.338,17.616,20.178,25.251,25.372,22.985,18.347,19.255,21.098,21.606,20.598,21.427,21.760,21.538,20.564,21.230,21.159,21.483,21.467,21.015,21.721,21.151,21.275,24.008,22.183,23.054,23.847,23.807,23.827,23.278,21.665,20.905,22.028,21.979,23.075,24.512
AUS,Australia,"Inflation, average consumer prices",Percent change,10.136,9.488,11.352,10.039,3.960,6.735,9.050,8.533,7.270,7.580,7.233,3.307,0.969,1.752,1.927,4.626,2.653,0.225,0.859,1.408,4.457,4.407,3.049,2.731,2.342,2.659,3.554,2.356,4.348,1.770,2.863,3.356,1.686,2.450,2.513,1.485,1.277,1.995,1.933,1.588,0.868
AUS,Australia,Volume of exports of goods and services,Percent change,-0.915,-3.403,8.771,-4.360,16.092,10.397,3.625,12.119,7.300,3.291,7.512,12.996,6.299,8.409,7.940,5.579,10.286,11.960,0.220,4.724,11.590,3.054,0.814,-1.090,3.722,3.389,3.423,3.420,4.407,2.001,5.709,-0.144,5.420,5.890,7.010,6.319,6.673,3.432,5.112,3.226,-9.655
